Date,Price,Open,High,Low,Vol.,Change %
09-04-2024,"71,340","71,026","71,739","70,988",6.75,0.60%
08-04-2024,"70,912","70,999","71,080","70,443",5.94,1.03%
05-04-2024,"70,189","69,840","70,899","69,649",0.02,0.22%
04-04-2024,"70,037","70,100","70,275","69,750",0.1,0.37%
03-04-2024,"69,778","69,475","69,999","69,182",0.14,1.15%
02-04-2024,"68,983","68,700","69,180","68,545",0.08,1.02%
01-04-2024,"68,289","68,699","69,487","68,021",0.69,0.90%
28-03-2024,"67,677","66,497","67,850","66,428",6.59,1.97%
27-03-2024,"66,367","66,198","66,499","66,018",4.7,0.38%
26-03-2024,"66,114","65,949","66,439","65,880",5.98,0.14%
25-03-2024,"66,022","65,858","66,242","65,858",2.27,0.25%
22-03-2024,"65,858","66,057","66,301","65,810",6.61,-0.50%
21-03-2024,"66,189","66,100","66,943","65,852",8.74,0.67%
20-03-2024,"65,750","65,599","65,856","65,540",4.79,0.25%
19-03-2024,"65,583","65,609","65,719","65,375",4.34,-0.04%
18-03-2024,"65,608","65,348","65,700","65,180",4,0.10%
15-03-2024,"65,542","65,659","65,897","65,510",5.14,-0.08%
14-03-2024,"65,595","65,800","65,843","65,434",3.78,-0.46%
13-03-2024,"65,897","65,520","66,030","65,450",4.04,0.64%
12-03-2024,"65,481","65,932","66,044","65,382",7.25,-0.84%
11-03-2024,"66,035","66,023","66,182","65,900",3.77,0.02%
08-03-2024,"66,023","65,599","66,356","65,416",6.29,0.94%
07-03-2024,"65,406","65,205","65,587","65,180",5.99,0.35%
06-03-2024,"65,178","64,702","65,250","64,679",5.46,0.51%
05-03-2024,"64,845","64,331","65,140","64,331",7.94,0.59%
04-03-2024,"64,462","63,401","64,575","63,401",7.55,1.41%
01-03-2024,"63,563","62,567","63,611","62,403",9.44,1.59%
29-02-2024,"62,567","62,270","62,688","62,118",4.86,0.51%
28-02-2024,"62,249","62,215","62,360","62,077",3.09,-0.08%
27-02-2024,"62,301","62,200","62,385","62,180",3.23,0.24%
26-02-2024,"62,149","62,327","62,340","62,050",2.87,-0.31%
23-02-2024,"62,345","62,108","62,388","61,877",4.83,0.59%
22-02-2024,"61,977","62,155","62,308","61,951",3.22,-0.21%
